¡ˆ¡°,¿œΩ√,∆Ú±’ ¿ÃªÍ»≠≈∫º“(CO2) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ∏ﬁ≈∫(CH4) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ æ∆ªÍ»≠¡˙º“(N2O) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ø∞»≠∫“»≠≈∫º“11(CFC11) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ø∞»≠∫“»≠≈∫º“12(CFC12) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ø∞»≠∫“»≠≈∫º“113(CFC113) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ¿∞∫“»≠»≤(SF6) πË∞Ê¥Î±‚≥Ûµµ(ppm)
115,2020-01,420.3,1981,333.9,,,,
115,2020-02,421.3,1982,333.6,,,,
115,2020-03,421.6,1979,333.3,,,,
115,2020-04,422.9,1967,334.6,,,,10.2
115,2020-05,419.1,1968,335.5,,,,10.4
115,2020-06,411,1971,335.3,,,,10.5
115,2020-07,412.7,1943,335.3,,,,10.5
115,2020-08,414.7,1942,335.4,,,,10.5
115,2020-09,412.5,1987,335,,,,10.5
115,2020-10,416,1996,334.3,,,,10.5
115,2020-11,419.1,1993,334.1,,,,10.7
115,2020-12,420,1998,334.4,,,,10.8
