¡ˆ¡°,¿œΩ√,∆Ú±’ ¿ÃªÍ»≠≈∫º“(CO2) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ∏ﬁ≈∫(CH4) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ æ∆ªÍ»≠¡˙º“(N2O) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ø∞»≠∫“»≠≈∫º“11(CFC11) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ø∞»≠∫“»≠≈∫º“12(CFC12) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ø∞»≠∫“»≠≈∫º“113(CFC113) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ¿∞∫“»≠»≤(SF6) πË∞Ê¥Î±‚≥Ûµµ(ppm)
115,2018-01,415.73,,,,,,
115,2018-02,417.67,,,,,,
115,2018-03,418.21,,,,,,
115,2018-04,419.41,,,,,,
115,2018-05,417.44,,,,,,9.7
115,2018-06,410.91,,,,,,9.8
115,2018-07,402.71,,,,,,9.8
115,2018-08,399.89,,,,,,9.8
115,2018-09,405.53,,,,,,9.8
115,2018-10,412.55,,,,,,9.8
115,2018-11,415.79,,,,,,9.8
115,2018-12,416.74,,,,,,9.9
