시도,시군구,읍면동,피해유형,피해인구,피해시작일,피해종료일
전라남도,완도군,청산면,제한급수,1200,2007-10-15,2008-04-21
전라남도,완도군,보길면,제한급수,1800,2007-12-10,2008-05-28
전라남도,완도군,노화읍,제한급수,1500,2007-12-10,2008-05-28
경상북도,의성군,사곡면,운반급수,88,2008-01-08,2008-04-08
전라남도,완도군,소안면,제한급수,2458,2008-02-12,2008-05-28
전라남도,완도군,금일읍,제한급수,1200,2008-02-18,2008-05-26
경상북도,의성군,다인면,운반급수,51,2008-05-01,2008-05-20
경상북도,의성군,비안면,운반급수,90,2008-05-26,2008-05-28
전라남도,고흥군,금산면,제한급수,1000,2008-05-30,2008-06-20
전라남도,완도군,청산면,제한급수,1200,2008-10-13,2009-02-10
전라남도,완도군,소안면,제한급수,2458,2008-10-31,2009-03-23
전라남도,완도군,보길면,제한급수,1800,2008-11-15,2009-03-30
전라남도,완도군,노화읍,제한급수,1500,2008-11-15,2009-03-30
전라남도,완도군,금일읍,제한급수,1200,2008-12-01,2009-04-20
강원도,홍천군,두촌면,운반급수,40,2009-01-03,2009-01-10
강원도,홍천군,내면,운반급수,72,2009-01-03,2009-01-10
경상남도,의령군,부림면,제한급수,25,2009-01-05,2009-03-25
강원도,태백시,삼수동,제한급수,7234,2009-01-06,2009-03-25
강원도,태백시,구문소동,제한급수,3323,2009-01-06,2009-03-25
강원도,태백시,장성동,제한급수,4054,2009-01-06,2009-03-25
강원도,태백시,문곡소도동,제한급수,4663,2009-01-06,2009-03-25
강원도,태백시,상장동,제한급수,16259,2009-01-06,2009-03-25
강원도,태백시,철암동,제한급수,2639,2009-01-06,2009-03-25
강원도,태백시,황지동,제한급수,7566,2009-01-06,2009-03-25
강원도,태백시,황연동,제한급수,5547,2009-01-06,2009-03-25
강원도,정선군,사북읍,운반급수,80,2009-01-12,2009-02-18
강원도,정선군,사북읍,운반급수,150,2009-01-12,2009-02-18
강원도,정선군,사북읍,제한운반,4800,2009-01-12,2009-02-18
